trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.63876309902031,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-31.52381685869436,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,14,-81.996769122761,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.59691922633834,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-214.6588701012258,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.90789881363833,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-93.78330385886593,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-62.36671664434146,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.6507632150825,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.1739363755789,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-192.8933157610341,"{0: 22, 1: 4, 2: 4, 3: 2, 4: 3}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.35580496952899,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.67119030384612,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.5449698008635,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.9705262075222,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.13167720524558,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-92.11693857820596,"{0: 21, 1: 0, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-76.74961124451107,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,3,-204.75086656084366,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 3}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,4,-39.75089446804436,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.56136609964253,"{0: 11, 1: 5, 2: 6, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.44720690673387,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.77132669116233,"{0: 10, 1: 3, 2: 8, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 1.0}",30,0,-214.64339461724634,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
25,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.07418640988993,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.78237081589324,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.52404962014583,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.69199923928215,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
29,False,"{'a': 0.5, 'e': 1.0}",30,0,-60.800699316403836,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.2039446370231,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.35687827618219,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.6381072036361,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
33,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.6106302714336,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 1.0}",20,13,-10.442597527678634,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.39519934651847,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 1.0}",30,0,-58.392770419869095,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.67299146504917,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
38,False,"{'a': 0.5, 'e': 1.0}",20,12,-10.350304017212629,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 1.0}",30,0,-204.8262512273395,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
40,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.83684281693843,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
41,False,"{'a': 0.5, 'e': 1.0}",30,0,-159.55999239169404,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
42,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.52212659459533,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.03779165781643,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.7054483564573,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.37773743760073,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.13338244302727,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 1.0}",20,12,-6.340161553495026,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 1.0}",30,0,-239.54885037841234,"{0: 15, 1: 4, 2: 6, 3: 1, 4: 4}",0
49,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.29554431647645,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
50,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.99620834233025,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
51,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.52245647999516,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.23174083057981,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
53,False,"{'a': 0.5, 'e': 1.0}",25,0,-270.0508123060632,"{0: 10, 1: 1, 2: 8, 3: 2, 4: 4}",0
54,False,"{'a': 0.5, 'e': 1.0}",25,13,-40.10639484634054,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.5346712134583,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 1.0}",35,0,-110.29191116635009,"{0: 23, 1: 5, 2: 5, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.3783462608317,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
58,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.155080353366735,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.66167319095922,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
60,False,"{'a': 0.5, 'e': 1.0}",30,3,-176.81898984373893,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 3}",1
61,False,"{'a': 0.5, 'e': 1.0}",30,0,-44.02828291724631,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 1.0}",20,3,-24.122139353561682,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
63,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.80813140144153,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
64,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.99276778878732,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
65,False,"{'a': 0.5, 'e': 1.0}",25,0,-209.30869676772866,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
66,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.27257047484113,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
67,False,"{'a': 0.5, 'e': 1.0}",30,0,-105.06970657722114,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 1.0}",25,0,-25.22117342412157,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.413809940728875,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.42383298529957,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
71,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.72454952078164,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
