trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.48833242319387,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.0779930808492,"{0: 11, 1: 3, 2: 7, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-125.03985994732369,"{0: 15, 1: 5, 2: 8, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,6,-24.70024578987715,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.07683484643525,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.40622965704708,"{0: 10, 1: 2, 2: 3, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.0614450153037,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.1072049294381,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.9244616226319,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.60433429478428,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.57502427245896,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.36207322959733,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.8691723837865,"{0: 16, 1: 5, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.9380148231061,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.5268099167927,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-39.32289286411281,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.41574088488733,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-95.25603882168872,"{0: 22, 1: 4, 2: 8, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.25776600638456,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.66421247744896,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.51420945461126,"{0: 13, 1: 7, 2: 2, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,16,1.6236055161581624,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-176.19387052236772,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,5,-64.07699468172605,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-188.46292404565062,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-75.14137333704495,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.187136976687576,"{0: 11, 1: 7, 2: 2, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.37215213702757,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-177.7922294642811,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.44799442317284,"{0: 9, 1: 4, 2: 3, 3: 3, 4: 1}",0
